,bulk_sample_1,scRNA_sample_1
Mir146b,0,0
Taf9,0,21
Cpne9,14,2
Osr2,15,3
Rbak,12,2
Vmn1r-ps75,0,0
Vmn2r-ps44,0,0
Pik3ca,77,42
Crabp2,16,2
Gm15532,0,0
Taar7f,0,0
S100g,112,16
Cd177,7,17
Gsto2,1,0
Fkbp11,5,0
Gadd45gip1,12,114
Gm15448,1,0
Myh11,477,39
Rnf146,14,23
Slco6c1,0,0
Immt,103,68
Slc22a28,0,0
Gm4732,0,0
Gm15489,0,0
Ces2b,2,0
Sh3bp4,98,8
Otoa,22,0
Crygb,1,0
Ly6g6e,2,31
E130218I03Rik,0,0
Mir466f-4,0,0
Hmgb1l,0,0
Fam71e1,2,5
Klrb1b,2,3
Mageb10-ps,0,0
Rpl36-ps10,0,0
Olfr1364,0,0
Gm6749,0,0
Olfr1296-ps1,0,0
Olfr74,0,0
Gas2l2,3,0
Gm11450,0,12
Gm7363,4,201
Gm13083,1,0
Psmd9,29,42
Peg3,33,11
Zfp783,30,7
6030452D12Rik,0,0
Klra9,0,0
1700113A16Rik,3,0
S1pr1,55,12
Vmn2r60,0,0
4933405O20Rik,0,0
Gm13341,2,27
Sprr1a,175,39
Gja10,2,0
Hhatl,12,0
Ugt1a10,0,0
Tep1,121,62
Phf5a,36,48
Kcnj13,0,8
Gm16463,0,0
Ak5,6,0
Defb20,0,1
Slc37a1,62,19
Gm7155,0,0
Gm5481,0,0
Gm16404,0,0
Ranbp1,40,130
Gm17233,0,0
Pdcd2,0,16
Gm10205,0,0
Gm11937,0,0
Gm10257,0,21
Mfrp,0,0
Ntan1,32,41
Chrna1,23,5
Cep192,54,8
Gm15263,0,0
Ptk6,6,0
Gvin1,0,0
Dbp,13,17
Gm13582,0,0
Vmn1r100,0,0
Gm12500,1,0
Gm3089,0,0
Sap30,10,12
Clca1,40,37
Olfr629,0,0
Gm9873,0,0
Mir467a-5,0,0
Gm4491,0,0
Serpinb9e,0,2
Gm16164,0,0
Timm17a,52,97
Gm3633,0,0
Gm14472,0,0
Dip2c,34,45
Tnks1bp1,171,99
Dnm2,192,203
Prl2a1,1,0
Zfp868,15,2
4930503L19Rik,3,0
Mir30e,0,0
Specc1l,121,58
Gm5431,5,0
Mettl11b,8,10
Gm14994,0,0
1700041M05Rik,0,0
Gm12870,2,0
Ube2s,35,0
Tmem233,1,0
Kcnn1,35,0
Prl3d2,0,0
Serpina3b,3,0
Btk,3,0
Camta2,86,143
Gm9830,0,4
Ppp3r1,94,25
Gab3,1,0
Gm11195,0,0
Gm16430,0,0
Gm7023,0,0
Gas1,3,0
Cox11,8,0
Gm14220,0,0
Samd8,35,11
Gm13236,0,0
Apobr,34,0
Apoe,89,265
Gm16306,0,0
Fhod1,10,4
Stard6,0,0
Peg10,11,0
Serinc5,100,18
Gm16063,0,0
Iqcf5,0,0
Ybx2,5,0
Tsc1,89,32
Gm16579,0,0
Olfr1256,0,0
Gm16465,1,0
Cyp27b1,5,0
Klhl35,1,5
Gpr45,1,0
Senp5,54,42
Gm16110,0,0
Gm12977,0,0
Sh2d4b,137,21
Tekt1,5,0
Gm13096,0,0
Ap3b1,108,128
Rnf208,2,8
Gm10557,3,11
Gigyf1,52,44
Slc38a11,1,0
Olfr215,0,0
Ahsa2,22,36
Pcdhb19,1,0
Olfr1196,0,0
Slc6a11,8,0
Gm10123,0,67
Tex2,45,8
Odf1,0,0
Ildr1,90,177
Mir466f-2,0,0
Efnb2,102,17
Bhlhe41,77,51
Ssbp3,76,94
Rpl14-ps1,64,289
A830052D11Rik,1,0
